,BHK,Baths,Total_Area_SqFt,BuiltUp_Area_Sqm,Price_per_SqFt,Type_of_Land,Location,Price
2110,1,1,715,66,6433,Apartment,Electronics City Phase 1,4600000
2111,3,3,1340,124,4850,Apartment,Bannerghatta,6500000
2112,3,3,1705,158,9677,Apartment,Tumkur Road,16500000
2114,3,3,1918,178,5995,Apartment,KR Puram,11500000
2115,0,0,2000,186,2150,Residential land / Plot,Marsur,4300000
2116,4,4,1200,111,20833,Bedroom House,Kalyan nagar,25000000
2117,4,4,800,74,6000,Bedroom House,Chandra Layout Extension,18000000
2118,3,3,1100,102,7000,Apartment,Frazer Town,7700000
2119,5,5,1200,111,29166,Bedroom House,Basaveshwara Nagar,35000000
2120,2,2,1206,112,4560,Apartment,Kasavanhalli,5500000
2121,2,2,800,74,8250,Bedroom House,Hebbagodi,6600000
2122,3,3,1300,121,7538,Apartment,Ashok Nagar,9800000
2123,0,0,1277,119,2662,Residential land / Plot,Dasanapura,3400000
2124,4,4,1162,108,6799,Bedroom House,Hoskote,7900000
2125,0,0,3000,279,7000,Residential land / Plot,Alfa Garden Layout,21000000
2126,1,1,750,70,5066,Apartment,Kamakshipalya,3800000
2127,2,2,1055,98,3791,Apartment,Kereguddadahalli,4000000
2128,0,0,2150,200,3906,Residential land / Plot,Parappana Agrahara,8400000
2130,2,2,1050,98,8190,Apartment,Doddakannelli,8600000
2131,2,2,1036,96,4536,Apartment,KR Puram,4700000
2132,2,2,1185,110,5485,Apartment,Jalahalli,6500000
2133,0,0,87120,8094,37,Residential land / Plot,Electronic City,3239000
2134,3,3,1500,139,5333,Apartment,Rahat Bagh,8000000
2135,2,2,1375,128,5000,Apartment,Bidrahalli,6700000
2136,0,0,1200,111,2100,Residential land / Plot,Sarjapur,2520000
2137,3,3,2077,193,8275,Bedroom House,Sarjapur,24000000
2138,2,2,1250,116,6000,Apartment,Electronics City Phase 1,7500000
2139,2,2,1010,94,5445,Apartment,Hadosiddapura,5500000
2140,2,2,943,88,4136,Apartment,Jigani,3900000
2141,0,0,1200,111,1167,Residential land / Plot,SLV LAYOUT,1400000
2142,0,0,600,56,4500,Residential land / Plot,Seegehalli,2700000
2143,0,0,3200,297,11000,Residential land / Plot,Kanaka Nagar,35200000
2144,2,2,1130,105,5752,Apartment,JP Nagar,6500000
2145,3,3,1500,139,5000,Apartment,Electronics City Phase 1,8000000
2146,3,3,1670,155,6586,Apartment,8th Phase JP Nagar,11000000
2147,2,2,726,67,5096,Apartment,Kengeri,3700000
2148,0,0,1000,93,1590,Residential land / Plot,Bannerghatta,1590000
2149,3,3,1350,125,8148,Apartment,Hbr bda complex,11000000
2150,2,2,1257,117,4136,Apartment,KR Puram,5200000
2151,2,2,1240,115,6048,Apartment,Seegehalli,7500000
2153,2,2,1161,108,3789,Apartment,Hallehalli,4400000
2154,2,2,901,84,8990,Apartment,Judicial Layout,8100000
2155,3,3,1415,131,5300,Apartment,Channasandra,7500000
2156,4,4,1200,111,13333,Bedroom House,Hennur Road,16000000
2157,6,6,8500,790,9412,Bedroom House,Rajarajeshwari Nagar,80000000
2158,4,4,960,89,34375,Bedroom House,Vijayanagar,33000000
2159,3,3,1272,118,6309,Bedroom House,Sarjapur,8026000
2160,2,2,2080,193,7933,Apartment,Kodbisanhalli,16500000
2161,4,4,8058,749,14892,Apartment,Budigere Cross,1200000
2162,1,1,3500,325,14285,Bedroom House,Basaveshwara Nagar,50000000
2163,1,1,1328,123,4668,Apartment,Whitefield,6200000
2164,4,4,1400,130,20000,Bedroom House,Gokula Extension,28000000
2165,3,3,1575,146,5714,Apartment,Panathur,9000000
2166,0,0,120,11,10000,Residential land / Plot,Huskur,1200000
2167,0,0,1200,111,2500,Residential land / Plot,Nelamangala,3000000
2168,3,3,1416,132,6497,Apartment,Tumkur Road,11000000
2169,3,3,1280,119,4297,Apartment,Chikkabanavara,5500000
2170,2,2,1171,109,4526,Apartment,Whitefield,5300000
2171,0,0,2067,192,4354,Residential land / Plot,Thindlu,9000000
2172,3,3,1245,116,5200,Apartment,Gunjur,6473999
2173,2,2,1221,113,6552,Apartment,Electronic City,8000000
2174,6,6,1200,111,12500,Bedroom House,Bagalakunte,15000000
2175,1,1,450,42,2333,Studio Apartments /  RK Flats,Shirke Layout,1050000
2176,0,0,1420,132,2112,Residential land / Plot,khb silicon city hampapur,3000000
2177,4,4,1825,170,55000,Bedroom House,akkipete,1000000
2178,5,5,3600,334,10555,Apartment,Tyagrajnagar banshakri,38000000
2179,2,2,1240,115,11209,Apartment,Varthur,13899999
2180,3,3,1540,143,5698,Apartment,Kempe Gowda Nagar,8775000
2181,2,2,1300,121,5000,Apartment,Somasundara Palya,6500000
2182,3,3,1447,134,4837,Apartment,Vishwanatha Nagenahalli,7000000
2183,1,1,1439999,133780,4,Apartment,Lakshmi Layout,6000000
2184,2,2,1100,102,4545,Apartment,Ashwathnagar,5000000
2185,2,2,1100,102,6363,Apartment,Vidyapeeta,7000000
2186,3,3,1700,158,4117,Apartment,RWF West Colony,7000000
2187,0,0,1324,123,4984,Residential land / Plot,Near International Airport,6600000
2188,3,3,3600,334,8333,Bedroom House,Bannerghatta Road,30000000
2189,3,3,1500,139,6000,Apartment,Electronic City,9500000
2190,0,0,2960,275,1600,Residential land / Plot,Nettigere,4736000
2191,0,0,1400,130,1785,Residential land / Plot,Devanahalli,2500000
2192,2,2,1120,104,6071,Apartment,8th Phase JP Nagar,6800000
2193,2,2,1198,111,7095,Apartment,Ferrar Nagar,8500000
2194,1,1,450,42,25000,Bedroom House,RT Nagar,11299999
2195,3,3,1427,133,5956,Apartment,RWF West Colony,7500000
2196,0,0,3000,279,2500,Residential land / Plot,Marsur,7500000
2197,0,0,2100,195,2000,Residential land / Plot,Sarjapur,4200000
2198,3,3,1700,158,16750,Bedroom House,Banashankari,28500000
2199,2,0,600,56,10833,Residential land / Plot,"2nd Phase, 2nd Block, BTM Layout",6500000
2200,2,2,1125,105,4888,Apartment,Laxminarayana Layout,5500000
2201,0,0,1702,158,4000,Residential land / Plot,Kadabagere,6800000
2203,3,3,1106,103,9041,Apartment,Kanakapura Road,10000000
2204,2,2,1001,93,3996,Apartment,Jalahalli,4000000
2205,2,2,1175,109,7234,Apartment,Banashankari Stage 2,8500000
2206,2,2,1155,107,3896,Apartment,Electronic City,4500000
2207,3,3,1375,128,9454,Bedroom House,T Dasarahalli,13000000
2208,2,2,950,88,9473,Apartment,Hanumantha Nagar,9000000
2209,3,3,1425,132,5964,Apartment,Electronics City Phase 1,8500000
2210,0,0,3000,279,1800,Residential land / Plot,Hoskote,5400000
2211,2,2,1100,102,5000,Apartment,Neeladri Nagar,5500000
2212,3,3,1476,137,6775,Apartment,Bannerghatta Road,10000000
2213,0,0,1350,125,22222,Residential property,Kodichikkanahalli,30000000
2214,3,3,1750,163,6857,Apartment,Surabhi Layout,12000000
2215,9,9,600,56,21666,Bedroom House,Hosakerehalli Layout,13000000
2216,0,0,925,86,4513,Residential land / Plot,Kommaghatta,4175000
2217,3,3,1380,128,5434,Apartment,Uttarahalli,7500000
2218,2,2,1145,106,6113,Apartment,Tejaswini Nagar,7000000
2219,2,2,1157,107,4753,Apartment,Battarahalli,5500000
2220,6,6,600,56,8181,Bedroom House,HAL 2nd Stage,13500000
2221,2,2,1500,139,13333,Apartment,1st Block Jayanagar,20000000
2222,2,2,3600,334,10000,Bedroom House,Hebbal,36000000
2223,3,3,1453,135,5849,Apartment,Singasandra,8500000
2224,2,2,1225,114,5632,Apartment,Hennur Road,6900000
2225,5,5,2000,186,3750,Bedroom House,Shivaji Nagar,7500000
2226,0,0,2000,186,4600,Residential land / Plot,Hoskote,9200000
2227,3,3,2400,223,7708,Bedroom House,Anekal,18500000
2228,3,3,1310,122,6000,Apartment,5th Phase JP Nagar,7859999
2229,13,13,1200,111,4677,Bedroom House,"Basavanna Nagar, Hoodi, Bengaluru, Karnataka 560048",29000000
2230,3,3,2251,209,11994,Apartment,Malleshwaram,27000000
2231,0,0,1110,103,4000,Residential land / Plot,Hennagara,4800000
2232,0,0,1200,111,5250,Residential land / Plot,Kodipalya,6300000
2233,3,3,800,74,18125,Apartment,Nelamangala,14500000
2234,12,12,2350,218,12000,Bedroom House,Nagashetty Halli,28200000
2235,2,2,1070,99,5420,Apartment,Hoodi,5800000
2236,4,4,2570,239,6500,Apartment,Devanahalli,17000000
2237,2,2,1040,97,5769,Apartment,1st Phase JP Nagar,6000000
2238,0,0,1200,111,1850,Residential land / Plot,Jigani,2220000
2239,2,2,573,53,7841,Apartment,Devanahalli,4500000
2240,0,0,1200,111,3750,Residential land / Plot,Devanahalli,4500000
2241,1,1,280,26,10714,Studio Apartments /  RK Flats,Domlur,3000000
2242,3,3,1200,111,4166,Apartment,Kadathanamale,5000000
2243,3,3,1200,111,15000,Bedroom House,Doddaballapur,18000000
2244,0,0,1311,122,6000,Residential land / Plot,Hosa Road,7866000
2245,0,0,87120,8094,55,Residential land / Plot,Electronic City,4800000
2246,2,2,1215,113,4000,Apartment,Alfa Garden Layout,4860000
2247,0,0,1200,111,4000,Residential land / Plot,Electronic City,4800000
2248,2,2,1260,117,9920,Apartment,Chokkanahalli,12500000
2249,3,3,1660,154,8433,Apartment,Sarjapur Road,14000000
2250,8,8,600,56,18333,Bedroom House,Hongasandra,11000000
2251,2,2,987,92,5572,Apartment,Whitefield,5500000
2252,0,0,2560,238,1200,Residential land / Plot,Ramohalli,3000000
2253,3,3,1825,170,9863,Apartment,Rose Garden jp nagar 6th phase,18000000
2254,6,6,740,69,14864,Bedroom House,Williams Town,11000000
2255,6,6,800,74,25000,Bedroom House,Kutty colony,20000000
2256,5,5,1200,111,8250,Bedroom House,Raja Rajeshwari Nagar,45000000
2257,2,2,640,59,4921,Apartment,Kada Agrahara,3150000
2258,0,0,1200,111,1750,Residential land / Plot,Jigani,2100000
2259,3,3,3400,316,7941,Bedroom House,Talaghattapura,27000000
2260,0,0,1500,139,3333,Residential land / Plot,Arasanakunte,5000000
2261,0,0,1200,111,10750,Residential land / Plot,Vasantapura Maruthi Lay Out Subramanyapura Road,12900000
2262,0,0,1200,111,6416,Residential land / Plot,Gattahalli,7700000
2263,0,0,1500,139,1210,Residential land / Plot,Chikka Tirupathi,1814999
2264,3,3,1356,126,4867,Apartment,Chandapura,6600000
2265,3,3,1106,103,15128,Apartment,Kanakapura Road,11800000
2266,3,3,909,84,4730,Apartment,Whitefield,4300000
2267,0,0,1500,139,1500,Residential land / Plot,Jangamakote,2250000
2268,2,0,3675,341,7000,Residential land / Plot,Kengeri Satellite Town Stage 2,25700000
2269,0,0,1256,117,3500,Residential land / Plot,Jigani,4400000
2270,4,4,1960,182,11000,Apartment,6th Phase JP Nagar,21500000
2271,2,2,800,74,6875,Apartment,Talaghattapura,5500000
2272,4,0,2100,195,10000,Residential land / Plot,BTM Layout Stage 4,21000000
2273,2,2,820,76,5121,Apartment,Gottigere,4200000
2274,2,2,1021,95,8814,Apartment,Ramanashree Enclave,9000000
2275,2,2,1065,99,5446,Apartment,Whitefield,5800000
2276,2,2,1100,102,6818,Apartment,Kanakapura Road,7500000
2277,2,2,880,82,3409,Apartment,Electronics City Phase 1,3000000
2278,2,2,697,65,6886,Apartment,Sanjay nagar,4800000
2279,4,4,750,70,16666,Bedroom House,Vivekananda Nagar,12500000
2280,3,3,1400,130,6000,Apartment,Kanakapura Road,8400000
2281,8,8,1200,111,10416,Bedroom House,Abbigere,12500000
2282,0,0,1200,111,2667,Residential land / Plot,Tavarekere,3200000
2283,3,3,1264,117,5221,Apartment,Hongasandra,6600000
2284,4,4,5500,511,23636,Bedroom House,Malleshwaram,1300000
2285,0,0,1500,139,4400,Residential land / Plot,"Maragondanahalli,KRpuram",6600000
2286,0,0,6400,595,1000,Residential land / Plot,Bannerghatta Road,6400000
