,location,price_per_sqft,total_sqft,builtup_area,bhk,price
126,Residential land / Plot in Kandi,"₹ 2,222/sq.ft.","1,800 sq.ft. (167 sq.m.) Plot Area",(167 sq.m.) Plot Area,,"₹ 40 L₹ 2,222/sq.ft."
127,3 BHK Apartment in Vijaya Nagar Colony,"₹ 4,583/sq.ft.","1,200 sq.ft. (111 sq.m.) Carpet Area",(111 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 55 L₹ 4,583/sq.ft."
128,3 BHK Apartment in Kompally,"₹ 7,692/sq.ft.","1,950 sq.ft. (181 sq.m.) Carpet Area",(181 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 1.5 Cr₹ 7,692/sq.ft."
129,3 BHK Apartment in Madinaguda,"₹ 6,106/sq.ft.","1,965 sq.ft. (183 sq.m.) Built-up Area",(183 sq.m.) Built-up Area,3 BHK3 Baths,"₹ 1.2 Cr₹ 6,106/sq.ft."
130,Residential land / Plot in Boduppal,"₹ 3,444/sq.ft.","2,493 sq.ft. (232 sq.m.) Plot Area",(232 sq.m.) Plot Area,,"₹ 85.87 L₹ 3,444/sq.ft."
131,2 BHK Apartment in Miyapur,"₹ 5,439/sq.ft.","1,195 sq.ft. (111 sq.m.) Super built-up Area",(111 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 65 L₹ 5,439/sq.ft."
132,3 BHK Apartment in Kapra,"₹ 4,767/sq.ft.","1,720 sq.ft. (160 sq.m.) Super built-up Area",(160 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 82 L₹ 4,767/sq.ft."
133,3 Bedroom House in Peerzadiguda,"₹ 11,735/sq.ft.","1,602 sq.ft. (149 sq.m.) Plot Area",(149 sq.m.) Plot Area,3 BHK3 Baths,"₹ 1.88 Cr₹ 11,735/sq.ft."
134,Residential land / Plot in LB Nagar,"₹ 14,667/sq.ft.","5,625 sq.ft. (523 sq.m.) Plot Area",(523 sq.m.) Plot Area,,"₹ 8.25 Cr₹ 14,667/sq.ft."
135,3 BHK Apartment in Dwarakapuri,"₹ 9,818/sq.ft.","2,750 sq.ft. (255 sq.m.) Super built-up Area",(255 sq.m.) Super built-up Area,3 BHK4 Baths,"₹ 2.7 Cr₹ 9,818/sq.ft."
136,1 BHK Apartment in KPHB,"₹ 9,060/sq.ft.",496 sq.ft. (46 sq.m.) Carpet Area,(46 sq.m.) Carpet Area,1 BHK1 Bath,"₹ 45 L₹ 9,060/sq.ft."
137,2 BHK Apartment in Raghavendra Colony,"₹ 6,929/sq.ft.","1,140 sq.ft. (106 sq.m.) Super built-up Area",(106 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 79 L₹ 6,929/sq.ft."
138,Residential land / Plot in Boduppal,"₹ 8,323/sq.ft.","2,403 sq.ft. (223 sq.m.) Plot Area",(223 sq.m.) Plot Area,,"₹ 2 Cr₹ 8,323/sq.ft."
139,2 BHK Apartment in Gayatri Nagar,"₹ 6,000/sq.ft.","1,080 sq.ft. (100 sq.m.) Built-up Area",(100 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 60 L₹ 6,000/sq.ft."
140,2 Bedroom House in Osman Nagar,"₹ 10,185/sq.ft.","1,620 sq.ft. (151 sq.m.) Plot Area",(151 sq.m.) Plot Area,2 BHK2 Baths,"₹ 1.65 Cr₹ 10,185/sq.ft."
141,3 BHK Apartment in Patrika Nagar,"₹ 9,090/sq.ft.","2,200 sq.ft. (204 sq.m.) Super built-up Area",(204 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 2 Cr₹ 9,090/sq.ft."
142,Residential land / Plot in Shad nagar,"₹ 17,006/sq.ft.",147 sq.ft. (14 sq.m.) Plot Area,(14 sq.m.) Plot Area,,"₹ 25 L₹ 17,006/sq.ft."
143,3 BHK Apartment in Kompally,"₹ 5,621/sq.ft.","1,690 sq.ft. (157 sq.m.) Carpet Area",(157 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 95 L₹ 5,621/sq.ft."
144,3 BHK Apartment in Narsingi,"₹ 8,450/sq.ft.","1,535 sq.ft. (143 sq.m.) Super built-up Area",(143 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.3 Cr₹ 8,450/sq.ft."
145,Residential land / Plot in Kandukur,"₹ 1,806/sq.ft.","3,600 sq.ft. (334 sq.m.) Plot Area",(334 sq.m.) Plot Area,,"₹ 66.5 L₹ 1,806/sq.ft."
