,location,price_per_sqft,total_sqft,builtup_area,bhk,price
139,2 BHK Apartment in Kamothe,"₹ 7,500/sq.ft.","1,200 sq.ft. (111 sq.m.) Super built-up Area",(111 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 90 L₹ 7,500/sq.ft."
140,3 BHK Apartment in Sector 18 Kharghar,"₹ 12,666/sq.ft.","1,500 sq.ft. (139 sq.m.) Super built-up Area",(139 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.9 Cr₹ 12,666/sq.ft."
141,2 BHK Apartment in New Panvel,"₹ 12,755/sq.ft.",686 sq.ft. (64 sq.m.) Carpet Area,(64 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 87.5 L₹ 12,755/sq.ft."
142,3 BHK Apartment in Panvel,"₹ 5,562/sq.ft.","1,690 sq.ft. (157 sq.m.) Super built-up Area",(157 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 94 L₹ 5,562/sq.ft."
143,2 BHK Apartment in Panvel,"₹ 7,744/sq.ft.",891 sq.ft. (83 sq.m.) Carpet Area,(83 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 69 L₹ 7,744/sq.ft."
144,1 BHK Apartment in Sector 20 Ulwe,"₹ 10,813/sq.ft.",430 sq.ft. (40 sq.m.) Carpet Area,(40 sq.m.) Carpet Area,1 BHK2 Baths,"₹ 46.5 L₹ 10,813/sq.ft."
145,2 BHK Apartment in Ghotkamp Koyana Vele,"₹ 6,259/sq.ft.",655 sq.ft. (61 sq.m.) Carpet Area,(61 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 41 L₹ 6,259/sq.ft."
146,1 BHK Apartment in Sector 21 Ulwe,"₹ 7,172/sq.ft.",725 sq.ft. (67 sq.m.) Super built-up Area,(67 sq.m.) Super built-up Area,1 BHK1 Bath,"₹ 52 L₹ 7,172/sq.ft."
147,2 Bedroom House in Khanda Colony,"₹ 7,230/sq.ft.",650 sq.ft. (60 sq.m.) Plot Area,(60 sq.m.) Plot Area,2 BHK2 Baths,"₹ 47 L₹ 7,230/sq.ft."
148,2 BHK Apartment in Sector 10 Kharghar,"₹ 9,453/sq.ft.",952 sq.ft. (88 sq.m.) Super built-up Area,(88 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 90 L₹ 9,453/sq.ft."
149,2 BHK Apartment in Sector 12 Kharghar,"₹ 8,333/sq.ft.",960 sq.ft. (89 sq.m.) Built-up Area,(89 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 80 L₹ 8,333/sq.ft."
150,1 BHK Apartment in Sector 15 Ghansoli,"₹ 11,538/sq.ft.",650 sq.ft. (60 sq.m.) Super built-up Area,(60 sq.m.) Super built-up Area,1 BHK1 Bath,"₹ 75 L₹ 11,538/sq.ft."
151,3 BHK Apartment in Ulwe,"₹ 9,081/sq.ft.","1,850 sq.ft. (172 sq.m.) Super built-up Area",(172 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.68 Cr₹ 9,081/sq.ft."
152,2 BHK Apartment in Ulwe,"₹ 9,777/sq.ft.","1,350 sq.ft. (125 sq.m.) Super built-up Area",(125 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 1.32 Cr₹ 9,777/sq.ft."
153,2 BHK Apartment in Ulwe,"₹ 7,203/sq.ft.","1,180 sq.ft. (110 sq.m.) Super built-up Area",(110 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 85 L₹ 7,203/sq.ft."
154,2 BHK Apartment in Sector 20 Ulwe,"₹ 8,955/sq.ft.",670 sq.ft. (62 sq.m.) Carpet Area,(62 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 60 L₹ 8,955/sq.ft."
155,1 BHK Apartment in Taloja,"₹ 8,205/sq.ft.",390 sq.ft. (36 sq.m.) Carpet Area,(36 sq.m.) Carpet Area,1 BHK2 Baths,"₹ 32 L₹ 8,205/sq.ft."
156,2 BHK Apartment in Ulwe,"₹ 8,810/sq.ft.","1,135 sq.ft. (105 sq.m.) Built-up Area",(105 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 1 Cr₹ 8,810/sq.ft."
157,3 BHK Apartment in Sector 9 Ulwe,"₹ 8,873/sq.ft.","1,465 sq.ft. (136 sq.m.) Super built-up Area",(136 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.3 Cr₹ 8,873/sq.ft."
