,location,price_per_sqft,total_sqft,builtup_area,bhk,price
0,3 BHK Independent Builder Floor in DLF Phase 1,"₹ 14,337/sq.ft.","1,674 sq.ft. (156 sq.m.) Carpet Area",(156 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 2.4 Cr₹ 14,337/sq.ft."
1,12 Bedroom House in Greater Kailash 2,"₹ 81,481/sq.ft.","2,700 sq.ft. (251 sq.m.) Plot Area",(251 sq.m.) Plot Area,12 BHK16 Baths,"₹ 22 Cr₹ 81,481/sq.ft."
2,Residential land / Plot in A Block Sushant Lok Phase 1,"₹ 36,731/sq.ft.","8,712 sq.ft. (809 sq.m.) Plot Area",(809 sq.m.) Plot Area,,"₹ 32 Cr₹ 36,731/sq.ft."
3,7 Bedroom House in Swaran Nagri,"₹ 6,538/sq.ft.","6,500 sq.ft. (604 sq.m.) Carpet Area",(604 sq.m.) Carpet Area,7 BHK7 Baths,"₹ 4.25 Cr₹ 6,538/sq.ft."
4,3 BHK Independent Builder Floor in DLF Phase 1,"₹ 14,337/sq.ft.","1,674 sq.ft. (156 sq.m.) Carpet Area",(156 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 2.4 Cr₹ 14,337/sq.ft."
5,12 Bedroom House in Greater Kailash 2,"₹ 81,481/sq.ft.","2,700 sq.ft. (251 sq.m.) Plot Area",(251 sq.m.) Plot Area,12 BHK16 Baths,"₹ 22 Cr₹ 81,481/sq.ft."
6,Residential land / Plot in A Block Sushant Lok Phase 1,"₹ 36,731/sq.ft.","8,712 sq.ft. (809 sq.m.) Plot Area",(809 sq.m.) Plot Area,,"₹ 32 Cr₹ 36,731/sq.ft."
7,7 Bedroom House in Swaran Nagri,"₹ 6,538/sq.ft.","6,500 sq.ft. (604 sq.m.) Carpet Area",(604 sq.m.) Carpet Area,7 BHK7 Baths,"₹ 4.25 Cr₹ 6,538/sq.ft."
8,3 BHK Apartment in Sector 102 Gurgaon,"₹ 7,750/sq.ft.","2,000 sq.ft. (186 sq.m.) Super built-up Area",(186 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.55 Cr₹ 7,750/sq.ft."
9,Residential land / Plot in DLF Phase 3,"₹ 26,007/sq.ft.","4,518 sq.ft. (420 sq.m.) Plot Area",(420 sq.m.) Plot Area,,"₹ 11.75 Cr₹ 26,007/sq.ft."
10,4 BHK Independent Builder Floor in Neeti Bagh,"₹ 36,749/sq.ft.","4,626 sq.ft. (430 sq.m.) Carpet Area",(430 sq.m.) Carpet Area,4 BHK4 Baths,"₹ 17 Cr₹ 36,749/sq.ft."
11,5 BHK Independent Builder Floor in DLF Phase 2,"₹ 28,709/sq.ft.","3,100 sq.ft. (288 sq.m.) Carpet Area",(288 sq.m.) Carpet Area,5 BHK6 Baths,"₹ 8.9 Cr₹ 28,709/sq.ft."
12,3 BHK Apartment in Sector 102 Gurgaon,"₹ 6,667/sq.ft.","2,250 sq.ft. (209 sq.m.) Built-up Area",(209 sq.m.) Built-up Area,3 BHK3 Baths,"₹ 1.55 Cr₹ 6,667/sq.ft."
13,6 Bedroom Farm house in Pataudi Road,"₹ 6,610/sq.ft.","2,269 sq.ft. (211 sq.m.) Plot Area",(211 sq.m.) Plot Area,6 BHK4 Baths,"₹ 1.5 Cr₹ 6,610/sq.ft."
14,4 BHK Apartment in Sector 108 Noida,"₹ 9,643/sq.ft.","4,874 sq.ft. (453 sq.m.) Super built-up Area",(453 sq.m.) Super built-up Area,4 BHK5 Baths,"₹ 4.7 Cr₹ 9,643/sq.ft."
15,7 Bedroom House in DaryaGanj,"₹ 51,530/sq.ft.","1,242 sq.ft. (115 sq.m.) Plot Area",(115 sq.m.) Plot Area,7 BHK6 Baths,"₹ 6.4 Cr₹ 51,530/sq.ft."
16,4 BHK Apartment in Paschim Vihar,"₹ 7,222/sq.ft.","1,800 sq.ft. (167 sq.m.) Carpet Area",(167 sq.m.) Carpet Area,4 BHK3 Baths,"₹ 1.3 Cr₹ 7,222/sq.ft."
17,Residential land / Plot in Ashok Vihar Phase 1,"₹ 50,000/sq.ft.","2,700 sq.ft. (251 sq.m.) Plot Area",(251 sq.m.) Plot Area,,"₹ 13.5 Cr₹ 50,000/sq.ft."
18,3 BHK Independent Builder Floor in Shalimar Bagh,"₹ 23,226/sq.ft.","1,356 sq.ft. (126 sq.m.) Built-up Area",(126 sq.m.) Built-up Area,3 BHK3 Baths,"₹ 3.15 Cr₹ 23,226/sq.ft."
19,4 BHK Independent Builder Floor in A Block Sushant Lok Phase 1,"₹ 12,250/sq.ft.","4,000 sq.ft. (372 sq.m.) Super built-up Area",(372 sq.m.) Super built-up Area,4 BHK5 Baths,"₹ 4.9 Cr₹ 12,250/sq.ft."
20,2 BHK Apartment in Okhla Phase 1,"₹ 34,602/sq.ft.","2,230 sq.ft. (207 sq.m.) Super built-up Area",(207 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 5 Cr₹ 34,602/sq.ft."
21,9 Bedroom House in Derawal Nagar,"₹ 51,370/sq.ft.","2,628 sq.ft. (244 sq.m.) Plot Area",(244 sq.m.) Plot Area,9 BHK7 Baths,"₹ 13.5 Cr₹ 51,370/sq.ft."
22,Residential land / Plot in Sector 54 Gurgaon,"₹ 38,889/sq.ft.","4,518 sq.ft. (420 sq.m.) Plot Area",(420 sq.m.) Plot Area,,"₹ 17.57 Cr₹ 38,889/sq.ft."
23,4 BHK Independent Builder Floor in Sector 92 Gurgaon,"₹ 12,435/sq.ft.","2,885 sq.ft. (268 sq.m.) Super built-up Area",(268 sq.m.) Super built-up Area,4 BHK4 Baths,"₹ 2.4 Cr₹ 12,435/sq.ft."
24,Residential land / Plot in Sector 77 Faridabad,"₹ 5,860/sq.ft.","4,693 sq.ft. (436 sq.m.) Plot Area",(436 sq.m.) Plot Area,,"₹ 2.75 Cr₹ 5,860/sq.ft."
25,3 BHK Apartment in Sarita Vihar,"₹ 12,195/sq.ft.","1,845 sq.ft. (171 sq.m.) Super built-up Area",(171 sq.m.) Super built-up Area,3 BHK4 Baths,"₹ 2.25 Cr₹ 12,195/sq.ft."
26,3 BHK Apartment in Okhla,"₹ 21,794/sq.ft.","2,753 sq.ft. (256 sq.m.) Super built-up Area",(256 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 6 Cr₹ 21,794/sq.ft."
27,3 BHK Independent Builder Floor in Pitampura,"₹ 29,321/sq.ft.","1,620 sq.ft. (151 sq.m.) Carpet Area",(151 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 4.75 Cr₹ 29,321/sq.ft."
28,4 BHK Independent Builder Floor in Rajouri garden,"₹ 17,478/sq.ft.","4,005 sq.ft. (372 sq.m.) Super built-up Area",(372 sq.m.) Super built-up Area,4 BHK5 Baths,"₹ 6.75 Cr₹ 17,478/sq.ft."
29,6 Bedroom House in Anand vihar colony,"₹ 54,674/sq.ft.","1,134 sq.ft. (105 sq.m.) Plot Area",(105 sq.m.) Plot Area,6 BHK5 Baths,"₹ 6.2 Cr₹ 54,674/sq.ft."
30,3 BHK Apartment in Mehrauli,"₹ 4,272/sq.ft.","1,100 sq.ft. (102 sq.m.) Built-up Area",(102 sq.m.) Built-up Area,3 BHK2 Baths,"₹ 47 L₹ 4,272/sq.ft."
31,4 BHK Apartment in Sector 4 Dwarka,"₹ 11,363/sq.ft.","2,200 sq.ft. (204 sq.m.) Carpet Area",(204 sq.m.) Carpet Area,4 BHK3 Baths,"₹ 2.5 Cr₹ 11,363/sq.ft."
32,3 BHK Apartment in Sector 99 Gurgaon,"₹ 8,200/sq.ft.","2,780 sq.ft. (258 sq.m.) Super built-up Area",(258 sq.m.) Super built-up Area,3 BHK4 Baths,"₹ 2.28 Cr₹ 8,200/sq.ft."
33,4 BHK Independent Builder Floor in Sector 28 Gurgaon,"₹ 15,000/sq.ft.","3,000 sq.ft. (279 sq.m.) Carpet Area",(279 sq.m.) Carpet Area,4 BHK4 Baths,"₹ 4.5 Cr₹ 15,000/sq.ft."
34,3 BHK Independent Builder Floor in Sector 63A Gurgaon,"₹ 23,570/sq.ft.","1,225 sq.ft. (114 sq.m.) Built-up Area",(114 sq.m.) Built-up Area,3 BHK3 Baths,"₹ 2.39 Cr₹ 23,570/sq.ft."
35,4 BHK Independent Builder Floor in CR Park,"₹ 19,531/sq.ft.","3,200 sq.ft. (297 sq.m.) Super built-up Area",(297 sq.m.) Super built-up Area,4 BHK5 Baths,"₹ 6.15 Cr₹ 19,531/sq.ft."
36,2 Bedroom House in Sector 17 Gurgaon,"₹ 14,583/sq.ft.","1,440 sq.ft. (134 sq.m.) Plot Area",(134 sq.m.) Plot Area,2 BHK3 Baths,"₹ 2.1 Cr₹ 14,583/sq.ft."
37,4 BHK Apartment in Greater Noida West,"₹ 4,901/sq.ft.","3,060 sq.ft. (284 sq.m.) Built-up Area",(284 sq.m.) Built-up Area,4 BHK5 Baths,"₹ 1.5 Cr₹ 4,901/sq.ft."
38,4 BHK Independent Builder Floor in Preet Vihar,"₹ 20,454/sq.ft.","2,200 sq.ft. (204 sq.m.) Carpet Area",(204 sq.m.) Carpet Area,4 BHK4 Baths,"₹ 4.5 Cr₹ 20,454/sq.ft."
39,2 BHK Apartment in Sector 137 Noida,"₹ 7,623/sq.ft.","1,115 sq.ft. (104 sq.m.) Super built-up Area",(104 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 85 L₹ 7,623/sq.ft."
40,3 BHK Apartment in Sector 37D Gurgaon,"₹ 7,564/sq.ft.","1,811 sq.ft. (168 sq.m.) Super built-up Area",(168 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.37 Cr₹ 7,564/sq.ft."
41,3 BHK Apartment in Greater Noida West,"₹ 4,571/sq.ft.","1,400 sq.ft. (130 sq.m.) Carpet Area",(130 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 64 L₹ 4,571/sq.ft."
42,4 BHK Apartment in Sector 150 Noida,"₹ 8,750/sq.ft.","3,200 sq.ft. (297 sq.m.) Super built-up Area",(297 sq.m.) Super built-up Area,4 BHK5 Baths,"₹ 2.8 Cr₹ 8,750/sq.ft."
43,2 BHK Apartment in Paschim Vihar,"₹ 17,866/sq.ft.",699 sq.ft. (65 sq.m.) Carpet Area,(65 sq.m.) Carpet Area,2 BHK1 Bath,"₹ 1.25 Cr₹ 17,866/sq.ft."
44,8 Bedroom House in DLF Phase 4,"₹ 28,891/sq.ft.","4,702 sq.ft. (437 sq.m.) Plot Area",(437 sq.m.) Plot Area,8 BHK8 Baths,"₹ 13.59 Cr₹ 28,891/sq.ft."
45,2 Bedroom House in Lajpat Nagar 2,"₹ 17,333/sq.ft.",360 sq.ft. (33 sq.m.) Plot Area,(33 sq.m.) Plot Area,2 BHK2 Baths,"₹ 1.3 Cr₹ 17,333/sq.ft."
46,3 BHK Independent Builder Floor in Rajouri garden,"₹ 13,888/sq.ft.","1,800 sq.ft. (167 sq.m.) Carpet Area",(167 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 2.5 Cr₹ 13,888/sq.ft."
47,3 BHK Apartment in Sector 84 Gurgaon,"₹ 6,666/sq.ft.","2,250 sq.ft. (209 sq.m.) Built-up Area",(209 sq.m.) Built-up Area,3 BHK4 Baths,"₹ 1.5 Cr₹ 6,666/sq.ft."
48,2 BHK Apartment in Sector 1 Greater Noida West,"₹ 4,381/sq.ft.","1,027 sq.ft. (95 sq.m.) Built-up Area",(95 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 45 L₹ 4,381/sq.ft."
49,3 BHK Apartment in Sector 134 Noida,"₹ 8,932/sq.ft.",918 sq.ft. (85 sq.m.) Carpet Area,(85 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 82 L₹ 8,932/sq.ft."
50,Studio Apartments / 1 RK Flats in Knowledge Park 3,"₹ 11,842/sq.ft.",380 sq.ft. (35 sq.m.) Carpet Area,(35 sq.m.) Carpet Area,1 BHK1 Bath,"₹ 45 L₹ 11,842/sq.ft."
51,2 BHK Apartment in Sector 50 Noida,"₹ 6,666/sq.ft.",900 sq.ft. (84 sq.m.) Super built-up Area,(84 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 60 L₹ 6,666/sq.ft."
52,4 BHK Independent Builder Floor in Rajouri garden,"₹ 5,990/sq.ft.","9,600 sq.ft. (892 sq.m.) Super built-up Area",(892 sq.m.) Super built-up Area,4 BHK4 Baths,"₹ 5.75 Cr₹ 5,990/sq.ft."
53,2 BHK Independent Builder Floor in Ankur Vihar,"₹ 4,167/sq.ft.",599 sq.ft. (56 sq.m.) Super built-up Area,(56 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 25 L₹ 4,167/sq.ft."
54,2 BHK Apartment in Mukherjee Nagar,"₹ 12,583/sq.ft.","1,351 sq.ft. (126 sq.m.) Super built-up Area",(126 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 1.7 Cr₹ 12,583/sq.ft."
55,2 BHK Independent Builder Floor in Safdarjung Enclave,"₹ 26,296/sq.ft.","1,350 sq.ft. (125 sq.m.) Carpet Area",(125 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 3.55 Cr₹ 26,296/sq.ft."
56,4 BHK Apartment in Sector 9A Gurgaon,"₹ 4,528/sq.ft.","2,650 sq.ft. (246 sq.m.) Carpet Area",(246 sq.m.) Carpet Area,4 BHK4 Baths,"₹ 1.2 Cr₹ 4,528/sq.ft."
57,4 Bedroom House in Sushant Lok Phase 3,"₹ 24,972/sq.ft.","1,782 sq.ft. (166 sq.m.) Plot Area",(166 sq.m.) Plot Area,4 BHK5 Baths,"₹ 4.45 Cr₹ 24,972/sq.ft."
58,Residential land / Plot in Sector 49 Faridabad,"₹ 8,875/sq.ft.","2,817 sq.ft. (262 sq.m.) Plot Area",(262 sq.m.) Plot Area,,"₹ 2.5 Cr₹ 8,875/sq.ft."
59,4 BHK Independent Builder Floor in DLF Phase 2,"₹ 16,666/sq.ft.","2,100 sq.ft. (195 sq.m.) Carpet Area",(195 sq.m.) Carpet Area,4 BHK4 Baths,"₹ 3.5 Cr₹ 16,666/sq.ft."
60,3 BHK Independent Builder Floor in Shalimar Bagh,"₹ 17,222/sq.ft.",900 sq.ft. (84 sq.m.) Carpet Area,(84 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 1.55 Cr₹ 17,222/sq.ft."
61,4 BHK Independent Builder Floor in Mukherjee Nagar,"₹ 15,476/sq.ft.","2,100 sq.ft. (195 sq.m.) Built-up Area",(195 sq.m.) Built-up Area,4 BHK3 Baths,"₹ 3.25 Cr₹ 15,476/sq.ft."
62,2 BHK Apartment in Sector 3 Vaishali,"₹ 6,000/sq.ft.","1,350 sq.ft. (125 sq.m.) Super built-up Area",(125 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 81 L₹ 6,000/sq.ft."
63,2 BHK Independent Builder Floor in Ram Nagar Extension,"₹ 15,625/sq.ft.","1,600 sq.ft. (149 sq.m.) Super built-up Area",(149 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 2.5 Cr₹ 15,625/sq.ft."
64,4 BHK Independent Builder Floor in Kailash Colony,"₹ 18,166/sq.ft.","3,000 sq.ft. (279 sq.m.) Carpet Area",(279 sq.m.) Carpet Area,4 BHK4 Baths,"₹ 5.45 Cr₹ 18,166/sq.ft."
65,7 Bedroom House in Sector 55 Noida,"₹ 16,483/sq.ft.","3,336 sq.ft. (310 sq.m.) Plot Area",(310 sq.m.) Plot Area,7 BHK8 Baths,"₹ 5.5 Cr₹ 16,483/sq.ft."
66,3 BHK Apartment in Indirapuram,"₹ 8,000/sq.ft.","1,978 sq.ft. (184 sq.m.) Built-up Area",(184 sq.m.) Built-up Area,3 BHK4 Baths,"₹ 1.58 Cr₹ 8,000/sq.ft."
67,Residential land / Plot in Sector 81 Faridabad,"₹ 11,111/sq.ft.","1,350 sq.ft. (125 sq.m.) Plot Area",(125 sq.m.) Plot Area,,"₹ 1.4 Cr₹ 11,111/sq.ft."
68,2 BHK Apartment in Motia Khan,"₹ 16,109/sq.ft.",807 sq.ft. (75 sq.m.) Built-up Area,(75 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 1.3 Cr₹ 16,109/sq.ft."
69,4 BHK Independent Builder Floor in Sector 22 Rohini,"₹ 4,504/sq.ft.","1,221 sq.ft. (113 sq.m.) Carpet Area",(113 sq.m.) Carpet Area,4 BHK3 Baths,"₹ 55 L₹ 4,504/sq.ft."
70,1 BHK Independent Builder Floor in Sector 23 Rohini,"₹ 7,142/sq.ft.",350 sq.ft. (33 sq.m.) Carpet Area,(33 sq.m.) Carpet Area,1 BHK1 Bath,"₹ 25 L₹ 7,142/sq.ft."
71,3 BHK Apartment in Vaibhav Khand,"₹ 5,769/sq.ft.","1,560 sq.ft. (145 sq.m.) Super built-up Area",(145 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 90 L₹ 5,769/sq.ft."
72,4 Bedroom House in Sector 27 Greater Noida,"₹ 21,481/sq.ft.","1,350 sq.ft. (125 sq.m.) Plot Area",(125 sq.m.) Plot Area,4 BHK4 Baths,"₹ 2.9 Cr₹ 21,481/sq.ft."
73,2 BHK Apartment in Manesar,"₹ 5,856/sq.ft.","1,622 sq.ft. (151 sq.m.) Super built-up Area",(151 sq.m.) Super built-up Area,2 BHK3 Baths,"₹ 95 L₹ 5,856/sq.ft."
74,3 BHK Apartment in Sector 128 Noida,"₹ 7,512/sq.ft.","1,930 sq.ft. (179 sq.m.) Super built-up Area",(179 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.45 Cr₹ 7,512/sq.ft."
75,2 BHK Independent Builder Floor in Mahavir Enclave,"₹ 4,645/sq.ft.",861 sq.ft. (80 sq.m.) Built-up Area,(80 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 35 L₹ 4,645/sq.ft."
76,2 BHK Apartment in Sector 1 Greater Noida West,"₹ 4,577/sq.ft.","1,005 sq.ft. (93 sq.m.) Super built-up Area",(93 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 46 L₹ 4,577/sq.ft."
77,2 BHK Apartment in Sector 16 Greater Noida,"₹ 5,414/sq.ft.","1,145 sq.ft. (106 sq.m.) Super built-up Area",(106 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 62 L₹ 5,414/sq.ft."
78,23 Bedroom House in DLF Phase 3,"₹ 30,093/sq.ft.","1,080 sq.ft. (100 sq.m.) Plot Area",(100 sq.m.) Plot Area,23 BHK23 Baths,"₹ 3.25 Cr₹ 30,093/sq.ft."
79,3 BHK Apartment in Sector 8 Rohini,"₹ 12,500/sq.ft.","1,600 sq.ft. (149 sq.m.) Built-up Area",(149 sq.m.) Built-up Area,3 BHK2 Baths,"₹ 2 Cr₹ 12,500/sq.ft."
80,Residential land / Plot in Sector 131 Noida,"₹ 15,556/sq.ft.","1,881 sq.ft. (175 sq.m.) Plot Area",(175 sq.m.) Plot Area,,"₹ 2.84 Cr₹ 15,556/sq.ft."
81,3 BHK Apartment in Sector 37C Gurgaon,"₹ 4,473/sq.ft.","1,900 sq.ft. (177 sq.m.) Super built-up Area",(177 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 85 L₹ 4,473/sq.ft."
82,2 BHK Apartment in Vikas Puri,"₹ 8,000/sq.ft.","1,100 sq.ft. (102 sq.m.) Super built-up Area",(102 sq.m.) Super built-up Area,2 BHK1 Bath,"₹ 88 L₹ 8,000/sq.ft."
83,3 BHK Apartment in Sector 9 Rohini,"₹ 17,307/sq.ft.","1,700 sq.ft. (158 sq.m.) Super built-up Area",(158 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 2.5 Cr₹ 17,307/sq.ft."
84,2 BHK Apartment in Sector 70 Faridabad,"₹ 3,206/sq.ft.","1,045 sq.ft. (97 sq.m.) Super built-up Area",(97 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 33.5 L₹ 3,206/sq.ft."
85,3 Bedroom House in Rosewood,"₹ 18,155/sq.ft.","1,377 sq.ft. (128 sq.m.) Plot Area",(128 sq.m.) Plot Area,3 BHK3 Baths,"₹ 2.5 Cr₹ 18,155/sq.ft."
86,5 Bedroom House in Baraula,"₹ 11,111/sq.ft.",315 sq.ft. (29 sq.m.) Plot Area,(29 sq.m.) Plot Area,5 BHK5 Baths,"₹ 35 L₹ 11,111/sq.ft."
87,2 BHK Apartment in Dabri,"₹ 4,375/sq.ft.",960 sq.ft. (89 sq.m.) Super built-up Area,(89 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 42 L₹ 4,375/sq.ft."
88,Residential land / Plot in Sector 102 Gurgaon,"₹ 15,222/sq.ft.","4,455 sq.ft. (414 sq.m.) Plot Area",(414 sq.m.) Plot Area,,"₹ 6.78 Cr₹ 15,222/sq.ft."
89,2 BHK Apartment in Vaibhav Khand,"₹ 7,627/sq.ft.","1,180 sq.ft. (110 sq.m.) Super built-up Area",(110 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 90 L₹ 7,627/sq.ft."
90,7 Bedroom Farm house in Sainik Farms,"₹ 12,820/sq.ft.","11,700 sq.ft. (1087 sq.m.) Plot Area",(1087 sq.m.) Plot Area,7 BHK8 Baths,"₹ 15 Cr₹ 12,820/sq.ft."
91,3 BHK Apartment in Palam,"₹ 7,361/sq.ft.","1,080 sq.ft. (100 sq.m.) Super built-up Area",(100 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 79.5 L₹ 7,361/sq.ft."
92,2 BHK Independent Builder Floor in CR Park,"₹ 16,739/sq.ft.","1,194 sq.ft. (111 sq.m.) Carpet Area",(111 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 2 Cr₹ 16,739/sq.ft."
93,3 BHK Apartment in Okhla,"₹ 7,142/sq.ft.","1,400 sq.ft. (130 sq.m.) Built-up Area",(130 sq.m.) Built-up Area,3 BHK2 Baths,"₹ 1 Cr₹ 7,142/sq.ft."
94,4 BHK Apartment in Sector 3 Faridabad,"₹ 7,778/sq.ft.",900 sq.ft. (84 sq.m.) Carpet Area,(84 sq.m.) Carpet Area,4 BHK2 Baths,"₹ 70 L₹ 7,778/sq.ft."
95,4 BHK Apartment in Sector 14 Rohini,"₹ 20,740/sq.ft.","1,350 sq.ft. (125 sq.m.) Carpet Area",(125 sq.m.) Carpet Area,4 BHK3 Baths,"₹ 2.8 Cr₹ 20,740/sq.ft."
96,4 BHK Independent Builder Floor in C Block Sushant Lok Phase 1,"₹ 12,291/sq.ft.","2,400 sq.ft. (223 sq.m.) Super built-up Area",(223 sq.m.) Super built-up Area,4 BHK4 Baths,"₹ 2.95 Cr₹ 12,291/sq.ft."
97,Residential land / Plot in Mehrauli,"₹ 6,667/sq.ft.",900 sq.ft. (84 sq.m.) Plot Area,(84 sq.m.) Plot Area,,"₹ 60 L₹ 6,667/sq.ft."
98,Residential land / Plot in Mohan Garden,"₹ 6,349/sq.ft.",630 sq.ft. (59 sq.m.) Plot Area,(59 sq.m.) Plot Area,,"₹ 40 L₹ 6,349/sq.ft."
99,3 BHK Independent Builder Floor in Indirapuram,"₹ 6,055/sq.ft.","1,205 sq.ft. (112 sq.m.) Built-up Area",(112 sq.m.) Built-up Area,3 BHK4 Baths,"₹ 73 L₹ 6,055/sq.ft."
100,4 BHK Apartment in Sector 76 Noida,"₹ 8,196/sq.ft.","3,050 sq.ft. (283 sq.m.) Built-up Area",(283 sq.m.) Built-up Area,4 BHK4 Baths,"₹ 2.5 Cr₹ 8,196/sq.ft."
101,3 BHK Apartment in Ahinsa Khand 2,"₹ 5,481/sq.ft.","1,268 sq.ft. (118 sq.m.) Super built-up Area",(118 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 69.5 L₹ 5,481/sq.ft."
102,3 BHK Independent Builder Floor in Harit Vihar,"₹ 3,600/sq.ft.","1,250 sq.ft. (116 sq.m.) Super built-up Area",(116 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 45 L₹ 3,600/sq.ft."
103,4 BHK Independent Builder Floor in Sector 17 Dwarka,"₹ 15,556/sq.ft.","2,250 sq.ft. (209 sq.m.) Carpet Area",(209 sq.m.) Carpet Area,4 BHK3 Baths,"₹ 3.5 Cr₹ 15,556/sq.ft."
104,3 BHK Apartment in Bhopura,"₹ 3,793/sq.ft.","1,450 sq.ft. (135 sq.m.) Carpet Area",(135 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 55 L₹ 3,793/sq.ft."
105,3 BHK Apartment in Sector 81 Gurgaon,"₹ 12,435/sq.ft.","1,930 sq.ft. (179 sq.m.) Super built-up Area",(179 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 2.4 Cr₹ 12,435/sq.ft."
106,2 BHK Apartment in Raj Nagar Extension,"₹ 4,512/sq.ft.",975 sq.ft. (91 sq.m.) Super built-up Area,(91 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 44 L₹ 4,512/sq.ft."
107,Residential land / Plot in Mubarakpur Dabas,₹ 447/sq.ft.,"13,428 sq.ft. (1248 sq.m.) Plot Area",(1248 sq.m.) Plot Area,,₹ 60 L₹ 447/sq.ft.
108,3 BHK Apartment in Jail Road,"₹ 9,915/sq.ft.","1,361 sq.ft. (126 sq.m.) Carpet Area",(126 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 1.35 Cr₹ 9,915/sq.ft."
109,3 BHK Apartment in East of Kailash,"₹ 20,370/sq.ft.","1,350 sq.ft. (125 sq.m.) Carpet Area",(125 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 2.75 Cr₹ 20,370/sq.ft."
110,4 BHK Independent Builder Floor in DLF Phase 3,"₹ 14,655/sq.ft.","2,900 sq.ft. (269 sq.m.) Carpet Area",(269 sq.m.) Carpet Area,4 BHK5 Baths,"₹ 4.25 Cr₹ 14,655/sq.ft."
111,3 BHK Apartment in Sector 4 Dwarka,"₹ 10,714/sq.ft.","1,400 sq.ft. (130 sq.m.) Super built-up Area",(130 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 1.5 Cr₹ 10,714/sq.ft."
112,3 BHK Apartment in Shahadra,"₹ 6,181/sq.ft.","1,100 sq.ft. (102 sq.m.) Carpet Area",(102 sq.m.) Carpet Area,3 BHK2 Baths,"₹ 68 L₹ 6,181/sq.ft."
113,3 BHK Apartment in Sector Chi 5 Greater Noida,"₹ 6,027/sq.ft.","1,825 sq.ft. (170 sq.m.) Super built-up Area",(170 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.1 Cr₹ 6,027/sq.ft."
114,2 BHK Independent Builder Floor in Kalkaji,"₹ 14,705/sq.ft.",850 sq.ft. (79 sq.m.) Carpet Area,(79 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 1.25 Cr₹ 14,705/sq.ft."
115,Residential land / Plot in Nangloi,"₹ 9,466/sq.ft.","1,500 sq.ft. (139 sq.m.) Plot Area",(139 sq.m.) Plot Area,,"₹ 1.42 Cr₹ 9,466/sq.ft."
116,2 BHK Apartment in Vasundhara Enclave,"₹ 9,523/sq.ft.","1,050 sq.ft. (98 sq.m.) Super built-up Area",(98 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 1 Cr₹ 9,523/sq.ft."
117,2 BHK Apartment in C Block Sushant Lok Phase 1,"₹ 9,633/sq.ft.",995 sq.ft. (92 sq.m.) Super built-up Area,(92 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 92 L₹ 9,633/sq.ft."
118,2 BHK Independent Builder Floor in Saket,"₹ 25,000/sq.ft.","1,200 sq.ft. (111 sq.m.) Built-up Area",(111 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 3 Cr₹ 25,000/sq.ft."
