,location,price_per_sqft,total_sqft,builtup_area,bhk,price
335,Residential land / Plot in Sector 37D Gurgaon,"₹ 12,755/sq.ft.","3,528 sq.ft. (328 sq.m.) Plot Area",(328 sq.m.) Plot Area,,"₹ 4.5 Cr₹ 12,755/sq.ft."
336,4 BHK Independent Builder Floor in Rajouri garden,"₹ 12,438/sq.ft.","2,412 sq.ft. (224 sq.m.) Carpet Area",(224 sq.m.) Carpet Area,4 BHK4 Baths,"₹ 3 Cr₹ 12,438/sq.ft."
337,4 BHK Apartment in Sector Pi 2 Greater Noida,"₹ 4,600/sq.ft.","2,065 sq.ft. (192 sq.m.) Built-up Area",(192 sq.m.) Built-up Area,4 BHK4 Baths,"₹ 95 L₹ 4,600/sq.ft."
338,1 BHK Apartment in Sector 27 Greater Noida,"₹ 9,859/sq.ft.",710 sq.ft. (66 sq.m.) Built-up Area,(66 sq.m.) Built-up Area,1 BHK1 Bath,"₹ 70 L₹ 9,859/sq.ft."
339,5 Bedroom House in Sector 27 Greater Noida,"₹ 11,246/sq.ft.","5,335 sq.ft. (496 sq.m.) Built-up Area",(496 sq.m.) Built-up Area,5 BHK6 Baths,"₹ 6 Cr₹ 11,246/sq.ft."
340,2 BHK Independent Builder Floor in Palam Vihar,"₹ 9,187/sq.ft.",800 sq.ft. (74 sq.m.) Carpet Area,(74 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 73.5 L₹ 9,187/sq.ft."
341,9 Bedroom House in Sector 60 Gurgaon,"₹ 27,386/sq.ft.","6,390 sq.ft. (594 sq.m.) Built-up Area",(594 sq.m.) Built-up Area,9 BHK12 Baths,"₹ 17.5 Cr₹ 27,386/sq.ft."
342,1 BHK Apartment in Mahipalpur,"₹ 4,666/sq.ft.",450 sq.ft. (42 sq.m.) Carpet Area,(42 sq.m.) Carpet Area,1 BHK1 Bath,"₹ 21 L₹ 4,666/sq.ft."
343,Residential land / Plot in Sector 92 Noida,"₹ 14,864/sq.ft.","4,843 sq.ft. (450 sq.m.) Plot Area",(450 sq.m.) Plot Area,,"₹ 7.2 Cr₹ 14,864/sq.ft."
344,Residential land / Plot in Sohna,"₹ 6,889/sq.ft.","1,147 sq.ft. (107 sq.m.) Plot Area",(107 sq.m.) Plot Area,,"₹ 79.05 L₹ 6,889/sq.ft."
345,2 BHK Apartment in Sector 27 Greater Noida,"₹ 18,359/sq.ft.",738 sq.ft. (69 sq.m.) Built-up Area,(69 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 1.15 Cr₹ 18,359/sq.ft."
